,Path,Fold,Family (abbr.),Family (in full),Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID (if applicable),Dynamics,Dynamics ID (if applicable),Instance ID,Mute (abbr.),Mute (in full),String ID (if applicable),Needed digital retuning,nframes,Duration(s),Octave
4108,Strings/Contrabass+sordina/ordinario/Cb+S-ord-A3-ff-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,A3,57.0,ff,4.0,0.0,S,Sordina,1.0,False,,,3
4109,Strings/Contrabass+sordina/ordinario/Cb+S-ord-A3-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,A3,57.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4110,Strings/Contrabass+sordina/ordinario/Cb+S-ord-A3-pp-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,A3,57.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4120,Strings/Contrabass+sordina/ordinario/Cb+S-ord-B3-ff-1c-T17u.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,B3,59.0,ff,4.0,0.0,S,Sordina,1.0,True,140579.0,,3
4121,Strings/Contrabass+sordina/ordinario/Cb+S-ord-B3-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,ord,ordinario,B3,59.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4122,Strings/Contrabass+sordina/ordinario/Cb+S-ord-B3-pp-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,B3,59.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4138,Strings/Contrabass+sordina/ordinario/Cb+S-ord-C3-ff-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,C3,48.0,ff,4.0,0.0,S,Sordina,1.0,False,,,3
4139,Strings/Contrabass+sordina/ordinario/Cb+S-ord-C3-mf-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,C3,48.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4140,Strings/Contrabass+sordina/ordinario/Cb+S-ord-C3-pp-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,C3,48.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4141,Strings/Contrabass+sordina/ordinario/Cb+S-ord-C4-ff-1c-T12u.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,C4,60.0,ff,4.0,0.0,S,Sordina,1.0,True,137338.0,,4
4142,Strings/Contrabass+sordina/ordinario/Cb+S-ord-C4-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,ord,ordinario,C4,60.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4143,Strings/Contrabass+sordina/ordinario/Cb+S-ord-C4-pp-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,C4,60.0,pp,0.0,0.0,S,Sordina,1.0,False,,,4
4162,Strings/Contrabass+sordina/ordinario/Cb+S-ord-D3-ff-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,ord,ordinario,D3,50.0,ff,4.0,0.0,S,Sordina,1.0,False,,,3
4163,Strings/Contrabass+sordina/ordinario/Cb+S-ord-D3-mf-1c-N.wav,1,Strings,Violin Family,Cb,Contrabass,ord,ordinario,D3,50.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
4164,Strings/Contrabass+sordina/ordinario/Cb+S-ord-D3-pp-1c-N.wav,4,Strings,Violin Family,Cb,Contrabass,ord,ordinario,D3,50.0,pp,0.0,0.0,S,Sordina,1.0,False,,,3
4165,Strings/Contrabass+sordina/ordinario/Cb+S-ord-D4-ff-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,D4,62.0,ff,4.0,0.0,S,Sordina,1.0,False,,,4
4166,Strings/Contrabass+sordina/ordinario/Cb+S-ord-D4-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,ord,ordinario,D4,62.0,mf,2.0,0.0,S,Sordina,1.0,False,,,4
4167,Strings/Contrabass+sordina/ordinario/Cb+S-ord-D4-pp-1c-N.wav,3,Strings,Violin Family,Cb,Contrabass,ord,ordinario,D4,62.0,pp,0.0,0.0,S,Sordina,1.0,False,,,4
4177,Strings/Contrabass+sordina/ordinario/Cb+S-ord-E3-ff-1c-N.wav,2,Strings,Violin Family,Cb,Contrabass,ord,ordinario,E3,52.0,ff,4.0,0.0,S,Sordina,1.0,False,,,3
4178,Strings/Contrabass+sordina/ordinario/Cb+S-ord-E3-mf-1c-N.wav,0,Strings,Violin Family,Cb,Contrabass,ord,ordinario,E3,52.0,mf,2.0,0.0,S,Sordina,1.0,False,,,3
